id,name,city,neighborhood,description,link,date,cuisine,address,latitude,longitude
19,Bouchon Bistro,MIA,Coral Gables,"Celebrated chef Thomas Keller (The French Laundry, Per Se) brought his famed Yountville and Vegas bistro to Coral Gables, which means more steak frites, roast chicken, mussels, and escargot for the rest of us. A beautiful salad Lyonnaise, a plate of chilled oysters, and a glass of Chablis just hits different here.",https://resy.com/cities/crlg/bouchon-bistro,2023-11-01,French,"2101 Galiano St, Coral Gables, FL 33134",25.75307,-80.256929
20,YELLOW (not) pizza,DC,Georgetown,"Here’s something special: Chef Michael Rafidi, whose Middle Eastern-focused Albi earned a Michelin star in 2022, started YELLOW as a pandemic-era, pop-up café. It’s now grown into a full-service restaurant, where the wood-fired sourdough “(not) pizzas” are topped with the season’s best, alongside Levantine plates, natural wines, and a whole lot of fun.",https://resy.com/cities/dc/yellow-not-pizza,2023-11-01,Middle Eastern,"1524 Wisconsin Ave NW, Washington D.C., DC 20007",38.909466,-77.064609
21,El Presidente,DC,Union Market,"Want to travel to Mexico City by way of the District? You can trust Stephen Starr to do just the trick. The acclaimed restaurateur draws flavors, ingredients, and techniques from all across Mexico for this show-stopping space, where the “Gran Torre de Mariscos” (the seafood tower) is a must, the à la carte tacos rely on an in-house masa program, and the bar boasts more than 200 producers of mezcal and Tequilas.",https://resy.com/cities/dc/el-presidente,2023-11-01,Mexican,"1255 Union Street Northeast, Washington, DC 20002",38.9185412,-77.0252088
22,The Little Blackbird,DC,Cleveland Park,"You know that a wine bar with a joyously international menu and a border-crossing wine list under the direction of Ashok Bajaj’s celebrated Knightsbridge Restaurant Group (Rasika, Modena, Sababa, etc.) is going to be something special, and this Cleveland Park gem doesn’t disappoint.",https://resy.com/cities/dc/the-little-blackbird,2023-11-01,American,"3309 Connecticut Ave NW, Washington, DC 20008",38.9338539,-77.0571051
23,San Matteo,DC,Petworth,"This Petworth charmer is kryptonite for pasta-loving locals. The mezzaluna with zucchini, pappardelle with mushrooms, lasagna — try them all. A mixed greens salad, a slice of tiramisu, and you have the makings of a perfectly laid-back dinner any night of the week.",https://resy.com/cities/dc/san-matteo,2023-11-01,Italian,"819 Upshur St NW, Washington D.C., DC 20011",38.9420733,-77.0241524
24,Boqueria Seaport,BOS,Seaport,"Come with hungry friends to share the classic tapas and faultless paellas at Yann de Rochefort’s ninth outpost of his crowd-pleasing Boqueria chain, named for the famous covered market in Barcelona. Pro tip: Splurge on “The Boqueria Experience” — an array of seasonal specialties, plus 36-month-aged jamón ibérico.",https://resy.com/cities/bos/boqueria-seaport,2023-11-01,Spanish,"25 Thomson Pl, Boston, MA 02210",42.3509722,-71.04730387021813
25,Amar,BOS,Back Bay,"After winning many awards and accolades for Aldea in Manhattan, chef George Mendes continues his story of modern Portuguese cooking from high above the city. The room is stunning, as are the unobstructed views through large windows. The menu is tightly woven around Portuguese staples and local ingredients via the chef’s creative interpretations. Your Portuguese avó might balk at his versions of traditional fare, but chances are they’ll still find it utterly delicious.",https://resy.com/cities/bos/amar-boston,2023-11-01,Portuguese,"40 Trinity Pl, Boston, MA 02116",42.34914324365737,-71.07578605844064
26,Gufo,BOS,Cambridge,"The team behind SRV and The Salty Pig have another winner, this time it’s mortadella-stuffed cappelletti with corn, snap pea Caesar salads, and merguez sausage pizzas for East Cambridge. You’ll note the stylish owl motif everywhere — gufo means “owl” in Italian.",https://resy.com/cities/cmbrd/gufo,2023-11-01,Italian,"660 Cambridge St, CAMBRIDGE, MA 02141",42.371844100000004,-71.08760701900648
27,Long Bar & Terrace,BOS,Back Bay,"It’s not the only reason to find your way to the Raffles 17th floor lounge and terrace — there is breakfast, lunch, and afternoon tea — but don’t leave without sipping a Singapore Sling. The drink was conceived at the original Singapore Raffles, so consider this the one to compare all others to. The swanky cocktail lounge and gorgeous garden terrace have phenomenal views of the South End, perfect for any time of day and snack.",https://resy.com/cities/bos/long-bar-&-terrace,2023-11-01,American,"40 Trinity Pl, 40 Trinity Place, Boston, MA 02116",42.34914324365737,-71.07578605844064
28,Sloane’s,BOS,Allston,"Comfort food comes in many guises. At Sarah Wade’s (of Stillwater) Allston spot, it might be pretzel-crusted chicken or shrimp birria tacos; lamb meatloaf with za’atar ketchup or vegan vegetable-filled stew; or good old-fashioned juicy grilled burgers with hand-cut curly fries. With dinner like that, you know brunch is bumpin’.",https://resy.com/cities/cmbrd/sloanes,2023-11-01,American,"197 North Harvard St, Allston, MA 02134",42.36284926022136,-71.13023008867378
29,Fields West,BOS,Allston,"Although the menu leans towards pub fare — pretzel bites, cacio e pepe tots, meatballs, and sliders — there’s a lot more to this everyday Allston spot. Like beers, from the usual suspects to more “funky” suds, zero-proof drinks, beet tartare, and board games, to name a few.",https://resy.com/cities/bos/fields-west,2023-11-01,Event,"87 Glenville Ave, Allston, MA 02134",42.34955535,-71.13499742223877
30,Charlie’s St. Helena,SF,St. Helena,"Bright and open, Charlie’s feels like a throwback to old St. Helena. Chef-owner Elliot Bell spent the last decade at the French Laundry, and here, he’s built a place both for local families and frolicking wine daytrippers, where caviar-topped potato skins and fried chicken abound.",https://resy.com/cities/npa/charlies-st-helena,2023-11-01,American,"1327 Railroad Ave, St Helena, CA 94574",38.505061846271786,-122.4687826975717
31,Bar Gemini,SF,San Francisco,"One of the Mission’s most exciting newcomers this year, Bar Gemini is a stunning natural wine bar. Pro tip: You’ll go for the wines, of course, but don’t miss the food. It comes courtesy of Ernest next door. That’s neighborly love.",https://resy.com/cities/sf/bar-gemini,2023-11-01,Wine Bar,"2845 18th St, San Francisco, CA 94110",37.76165004081633,-122.4105622244898
32,Robin Menlo Park,SF,Menlo Park,"Chef Adam Tortosa’s contemporary omakase is a perfect fit for the Peninsula crowd. Like the original Hayes Valley outpost, it’s less about the bounty of Japan for the menu, and more about top-tier ingredients available here. The customized menu fits any price and preference; just make sure to sit back and enjoy the show.",https://resy.com/cities/pal/robin-menlo-park,2023-11-01,Japanese,"1300 El Camino Real, Suite C, Menlo Park, CA 94025",37.455057,-122.1854966
33,Ofena,SF,San Francisco,"An everyday restaurant where anyone — families, couples, friends — can hang out over plates of spaghetti alla chitarra, fried mozzarella-stuffed bread with marinara, and spumoni sundaes, courtesy of Tan Truong, one of the partners behind local sushi sensation Ju-Ni.",https://resy.com/cities/sf/ofena,2023-11-01,Italian,"2529 Ocean Ave, San Francisco, CA 94132",37.731333,-122.4727701
34,Good Luck Gato,SF,Uptown Oakland,"The beloved and critically acclaimed Hopscotch has been reborn as Good Luck Gato. Billed as an “izakaya cantina,” the new concept celebrates the cultures of its talented team — Kyle Itani, who you will will remember from the space’s prior incarnation, and Matthew Meyer and Daniel Paez, who are the folks behind Low Bar.",https://resy.com/cities/sf/Good%20Luck%20Gato,2023-11-01,International,"1915 San Pablo Ave, 1915 San Pablo Avenue, Oakland, CA 94612",37.8092698,-122.273093
35,Barberio Osteria,SF,The Mission,"The former Locanda/Ancora has been reborn as Barberio Osteria, thanks to the team behind AltoVino. Here, chef Nick Kelly is showcasing his talent with rustic Italian fare, and let’s just say you won’t want miss the pasta magic happening.",https://resy.com/cities/sf/barberio-osteria,2023-11-01,Italian,"557 Valencia St, 557 Valencia Street, San Francisco, CA 94110",37.76402,-122.4216435
36,Vinyl,PHI,Rittenhouse Square,"Put this one on your Hit List: a Center City mecca for low-key but sophisticated evenings from noted local restaurant man Rob Wasserman (Rouge, 500 Degrees), ensconced on the site once occupied by the legendary Bookbinders and featuring live music, contemporary cocktails, and a curated menu of cocktail-friendly essential bites, from caviar to sliders.",https://resy.com/cities/pha/vinyl,2023-11-01,American,"215 S 15th St, 215 South 15th Street, Philadelphia, PA 19102",39.94823896,-75.16612196
37,Common Ground Bar and Eatery – Berry Hill,NSH,Berry Hill,"For eminently approachable fare showcasing regional ingredients, worldly flavors, and a vibrant cocktail program in an amiable neighborhood atmosphere, look no further than this bright, friendly offshoot of the popular Common Ground in Sylvan Park.",https://resy.com/cities/bna/common-ground-bar-and-eatery-berry-hill,2023-11-01,American,"734 Thompson Ln, Nashville, TN 37204",36.11228754571717,-86.76765618854108
38,Lamar’s Sporting Club,CHSTON,Downtown Charleston,"Billed as Charleston’s first reservation-only nightlife experience, this stylish and luxurious newcomer blends a private club vibe with sports and cocktails. And yes, limited reservations are available through Resy.",https://resy.com/cities/chs/lamars-sporting-club,2023-11-01,American,"570 King St, Charleston, SC 29403",32.8499415,-79.9695569
39,Bintü Atelier,CHSTON,Charleston,"When Bintou Ndaw moved from her native Senegal to Charleston, she found familiar foodstuffs — okra, peanuts, blackeyed peas, rice, and more — but no African restaurants. So she opened this one, in a homey East Side cottage, serving dishes that you won’t want to miss.",https://resy.com/cities/chs/bintu-atelier,2023-11-01,African,"8 Line St, Charleston, SC 11233",32.79718171428584,-79.9381355911327
40,LPC Kitchen,CHSTON,Summerville,"Pizza-lovers rejoiced when Naples-trained Peter Lombardi, famed for his Lombardi Pizza Co. in New Jersey, opened this offshoot in Summerville, where he blends New York and Neapolitan pizza styles into unforgettable pies. A plus that Jersey doesn’t have: an array of house-made pastas (don’t miss the rigatoni with Mom’s Bolognese).",https://resy.com/cities/smm/lpc-kitchen,2023-11-01,Italian,"1231 Nexton Parkway, Summerville, SC 29483",33.0528874,-80.1647071
41,Colectivo,CHSTON,Johns Island,"Bring your family and friends to this handsome Johns Island Mexican place, where chef Alex Yellan (ex-Minero) serves a menu of easily shareable botanas, seafood cócteles and ceviches, and generously plated meat dishes with plenty of tortillas on the side.",https://resy.com/cities/jhnss/colectivo,2023-11-01,Mexican,"2901 Maybank Hwy, Johns Island, SC 29455",32.728515,-80.0669122
42,Elementary ATX,ATX,Zilker,This brick-and-mortar evolution of the thriving Elementary pop-up is creating a buzz on South Lamar for its cool modernist-minimalist décor and a genre-busting seasonal menu that might include mashups like birria soup dumplings and tortellini al pastor.,https://resy.com/cities/atx/elementary-atx,2023-11-01,Modern,"2026 South Lamar Blvd, Austin, TX 78704",30.249192,-97.768468
43,Jeju Restaurant,PORT-OR,Central Eastside Portland,"Portland Korean restaurant stars Peter Cho and his wife-partner Sun Young Park (Han Oak, Toki) have done it again with this riveting Korean barbecue destination, featuring nose-to-tail meats, a six-seat chef’s counter serving a barbecue omakase menu, a collection of seldom-seen Korean spirits, and possibly late-night karaoke to come.",https://resy.com/cities/pdx/jeju-restaurant,2023-11-01,Korean,"626 SE Main St, Portland, OR 97214",45.5134373,-122.65906208329558
44,L’Orange,PORT-OR,Ladd's Addition / Hosford-Abernethy,"You won’t want to miss this easy-going, wine-focused delight from winemaker and wine bar proprietor Jeff Vejr and chef Joel Stocks, with its concise, sunny, Mediterranean-flavored menu and its wide-ranging and nicely affordable carte des vins.",https://resy.com/cities/pdx/lorange,2023-11-01,European,"2005 SE 11th Ave, PORTLAND, OR 97214",45.508514649999995,-122.6549394
45,Plates Restaurant,NOLA,Warehouse District,"At this rustic-chic Warehouse District charmer, full of brick and wood, with mismatched vintage plates on both the walls and the tables, chef Farrell Harrison reinvents tapas to reflect the New Orleans melting pot, with salutes to Spain, Vietnam, Italy, Germany, the Middle East, and more.",https://resy.com/cities/no/plates-restaurant,2023-11-01,Tapas,"1051 Annunciation St, New Orleans, LA 70130",29.941313,-90.067843
46,Garrison Kitchen and Cocktails,NOLA,Old Metairie,"When the weather is most agreeable, a night in your own gazebo dining with friends is the only place to be. You’ll share tangy Caesar salads and shrimp toast, focaccia with whipped feta and caramelized onion, crispy chicken with pickled peppers, and spaetzle, though you may hoard the desserts for yourself. There’s plenty of indoor dining in the 110-year-old main cottage, as well.",https://resy.com/cities/mtr/garrison-kitchen-and-cocktails,2023-11-01,American,"2928 Metairie Rd, Metairie, LA 70001",29.9780795,-90.1536161
47,Josephine’s Gulf Coast Tradition,HOU,Midtown,"This Midtown must, named for Mississippi-born chef Lucas McKinney’s great-grandmother, features Gulf seafood — shrimp, blue crab, redfish, and more — cooked with an irresistible Southern accent. But be sure to try the fried chicken on a stick with buttermilk ranch, an Ole Miss favorite, too.",https://resy.com/cities/hou/josephines-gulf-coast-tradition,2023-11-01,Seafood,"318 Gray St, Houston, TX 77002",29.75215185714286,-95.37725295918368
48,Balboa Surf Club,HOU,Houston,"Come to this seafood-forward charmer from the folks behind Il Bracco for its casual-elegant dining room (dark green banquettes, acres of natural wood), its fire-pit-and-fountain covered patio, and above all its enticing West Coast-inspired menu, offering everything from sushi to miso salmon, with steak and chicken along the way.",https://resy.com/cities/hou/balboa-surf-club,2023-11-01,Seafood,"1753 Post Oak Blvd, Houston, TX 77056",29.748327727272727,-95.46132039393939
49,The Sewist’s Room,HOU,Houston Heights,"There’s an antique sewing machine on a shelf in the dining room, and the decor might remind you of your favorite aunt’s parlor, but the spirit behind this Houston Heights bottle shop and wine bar is as modern as can be, with a knockout selection of natural wines, attractive non-alcoholic options, and an array of craft cheeses, cured meats, and other light fare.",https://resy.com/cities/hou/the-sewists-room,2023-11-01,Wine Bar,"825 Studewood St, Houston, TX 77007",29.786491538461537,-95.38785876923077
50,Via Triozzi,DAL,Lower Greenville,"For date night or just an evening out with friends, you’ll love Sicilian-American Leigh Hutchinson’s family-inspired Lower Greenville Italian for its warm lighting, its easy-going atmosphere, and its menu featuring hand-pulled mozzarella, house-made pasta, and Texas-bred Chianina beef.",https://resy.com/cities/dfw/via-triozzi,2023-11-01,Italian,"1806 Greenville Ave, Dallas, TX 75206",32.81251175,-96.77010675
51,Lyla,DAL,Uptown,Whether you dine in the glowingly warm dining room or on the glorious covered patio — which seems sun-drenched even at night — you’ll feel the laid-back island vibe at this mostly-Mediterranean Uptown essential from Gap Concepts (of PostScript and XOXO Dining Room fame).,https://resy.com/cities/dfw/lyla,2023-11-01,Italian,"3309 McKinney Ave, Dallas, TX 75204",32.8048153,-96.7992595
52,Operators Club,DAL,West End,"This one’s for fun: A gigantic welcoming hand reaches down from the ceiling at this sleek, contemporary spot in the old Coca-Cola building; music fills the air, and sports play out on high-def screens; the bar goes on forever; and the menu announces its intentions with signatures like gochujang duck drumettes and a mac & cheese burger with truffle aioli.",https://resy.com/cities/dfw/operators-club,2023-11-01,American,"2019 N Lamar St, Suite 100, Dallas, TX 75202",32.78348421585762,-96.80701768157432
53,Walloon’s Restaurant,DAL,Near Southside,"Step inside Fort Worth’s 1927-vintage 1st National Bank building, now the home of this fish and shellfish emporium from Marcus Paslay (Clay Pigeon, Piatello), and find classic seafood dishes (oysters Rockefeller, lobster roll, moules marinières) in a comfortable dining room with a seems-like-it’s-been-there-forever vibe.",https://resy.com/cities/dfw/walloons-restaurant,2023-11-01,Seafood,"701 W. Magnolia Ave, Fort Worth, TX 76104",32.730593,-97.331704
54,Omakase by Yun,ATL,Dunwoody,"Looking for something special? This is an exclusive omakase bar where Jonathan Yun, a veteran of the Michelin-starred Sushi Nakazawa in Manhattan, offers just two 10-person seatings a night for his 18-course omakase menus, featuring seafood sourced largely from Japan.",https://resy.com/cities/atl/omakase-by-yun,2023-11-01,Japanese,"4511 Olde Perimeter Way, Ste 700, Atlanta, GA 30346",,
55,Bar Ti Amo,ATL,Atlanta,"This sleek, glass-enclosed Buckhead stunner from Tuscan native Marco Betti of Antica Posta fame is far more than just a stylish bar: It’s an irresistible all-day restaurant offering everything from bruschetta three ways to pollo alla cacciatora.",https://resy.com/cities/atl/bar-ti-amo,2023-11-01,Italian,"3199 Paces Ferry Place NW, Atlanta, GA 30305",33.8417556,-84.381711
56,Rwby,ATL,Midtown,"You’ll definitely want to add this Midtown spot to your hit list for its tradition-plus-innovation menu (yes, there’s grilled chicken; yes there’s roasted carrot dip with peanuts and pomegranate), its riffs on classic cocktails, and its welcoming vibe.",https://resy.com/cities/atl/rwby,2023-11-01,American,"905 Juniper St NE, 905 Juniper Street, Atlanta, GA 30309",33.77917955,-84.38226229530434
